 # i,    taui (ni),  alpha ;   j,    tauj  (nj),   beta  :   term  group   rij 
   1  [    1 ( 0, 0, 0) ] 1    52  [    1 ( 1, 1,-2) ] 2  :    56    5    8.523
   1  [    1 ( 0, 0, 0) ] 1    40  [    1 (-1, 2,-1) ] 3  :    65    5    7.486
   1  [    1 ( 0, 0, 0) ] 1    35  [    1 ( 1,-2, 1) ] 3  :    72    5    5.763
   1  [    1 ( 0, 0, 0) ] 1    50  [    1 ( 0,-2, 1) ] 2  :    81    5    7.486
   1  [    1 ( 0, 0, 0) ] 1    56  [    1 ( 0, 2,-1) ] 2  :    88    5    6.280
   1  [    1 ( 0, 0, 0) ] 1    39  [    1 ( 0,-1, 2) ] 3  :    89    5    5.763
   1  [    1 ( 0, 0, 0) ] 1    36  [    1 ( 0, 1,-2) ] 3  :    96    5    4.778
   1  [    1 ( 0, 0, 0) ] 1    54  [    1 ( 1, 1, 0) ] 3  :     4    6    6.280
   1  [    1 ( 0, 0, 0) ] 1    40  [    1 ( 1, 0, 1) ] 2  :    12    6    7.486
   1  [    1 ( 0, 0, 0) ] 1    23  [    1 ( 0,-1,-1) ] 2  :    17    6    2.495
   1  [    1 ( 0, 0, 0) ] 1    23  [    1 ( 0,-1,-1) ] 3  :    21    6    2.495
   1  [    1 ( 0, 0, 0) ] 1    56  [    1 (-2, 0, 1) ] 3  :    25    6    6.280
   1  [    1 ( 0, 0, 0) ] 1    39  [    1 (-2, 1, 0) ] 2  :    33    6    5.763
   1  [    1 ( 0, 0, 0) ] 1    22  [    1 ( 2,-1,-1) ] 2  :    44    6    4.075
   1  [    1 ( 0, 0, 0) ] 1    22  [    1 ( 2,-1,-1) ] 3  :    48    6    4.075
   1  [    1 ( 0, 0, 0) ] 1    52  [    1 ( 1, 1,-2) ] 3  :    52    6    8.523
   1  [    1 ( 0, 0, 0) ] 1    21  [    1 (-1, 0, 2) ] 2  :    57    6    4.778
   1  [    1 ( 0, 0, 0) ] 1    21  [    1 (-1, 0, 2) ] 3  :    61    6    4.778
   1  [    1 ( 0, 0, 0) ] 1    35  [    1 ( 1,-2, 1) ] 2  :    68    6    5.763
   1  [    1 ( 0, 0, 0) ] 1    24  [    1 (-1, 2, 0) ] 2  :    73    6    4.075
   1  [    1 ( 0, 0, 0) ] 1    24  [    1 (-1, 2, 0) ] 3  :    77    6    4.075
   1  [    1 ( 0, 0, 0) ] 1    50  [    1 ( 0,-2, 1) ] 3  :    81    6    7.486
   1  [    1 ( 0, 0, 0) ] 1    36  [    1 ( 0, 1,-2) ] 2  :    92    6    4.778
   1  [    1 ( 0, 0, 0) ] 1    52  [    1 (-1,-1, 0) ] 3  :     1    7    8.523
   1  [    1 ( 0, 0, 0) ] 1    35  [    1 (-1, 0,-1) ] 2  :     9    7    5.763
   1  [    1 ( 0, 0, 0) ] 1    22  [    1 ( 0, 1, 1) ] 2  :    20    7    4.075
   1  [    1 ( 0, 0, 0) ] 1    22  [    1 ( 0, 1, 1) ] 3  :    24    7    4.075
   1  [    1 ( 0, 0, 0) ] 1    50  [    1 ( 2, 0,-1) ] 3  :    28    7    7.486
   1  [    1 ( 0, 0, 0) ] 1    36  [    1 ( 2,-1, 0) ] 2  :    36    7    4.778
   1  [    1 ( 0, 0, 0) ] 1    23  [    1 (-2, 1, 1) ] 2  :    41    7    2.495
   1  [    1 ( 0, 0, 0) ] 1    23  [    1 (-2, 1, 1) ] 3  :    45    7    2.495
   1  [    1 ( 0, 0, 0) ] 1    54  [    1 (-1,-1, 2) ] 3  :    49    7    6.280
   1  [    1 ( 0, 0, 0) ] 1    24  [    1 ( 1, 0,-2) ] 2  :    60    7    4.075
   1  [    1 ( 0, 0, 0) ] 1    24  [    1 ( 1, 0,-2) ] 3  :    64    7    4.075
   1  [    1 ( 0, 0, 0) ] 1    40  [    1 (-1, 2,-1) ] 2  :    65    7    7.486
   1  [    1 ( 0, 0, 0) ] 1    21  [    1 ( 1,-2, 0) ] 2  :    76    7    4.778
   1  [    1 ( 0, 0, 0) ] 1    21  [    1 ( 1,-2, 0) ] 3  :    80    7    4.778
   1  [    1 ( 0, 0, 0) ] 1    56  [    1 ( 0, 2,-1) ] 3  :    84    7    6.280
   1  [    1 ( 0, 0, 0) ] 1    39  [    1 ( 0,-1, 2) ] 2  :    89    7    5.763
   1  [    1 ( 0, 0, 0) ] 1    23  [    1 ( 0,-1,-1) ] 1  :     9    8    2.495
   1  [    1 ( 0, 0, 0) ] 1    22  [    1 ( 0, 1, 1) ] 1  :    12    8    4.075
   1  [    1 ( 0, 0, 0) ] 1    23  [    1 (-2, 1, 1) ] 1  :    21    8    2.495
   1  [    1 ( 0, 0, 0) ] 1    22  [    1 ( 2,-1,-1) ] 1  :    24    8    4.075
   1  [    1 ( 0, 0, 0) ] 1    21  [    1 (-1, 0, 2) ] 1  :    29    8    4.778
   1  [    1 ( 0, 0, 0) ] 1    24  [    1 ( 1, 0,-2) ] 1  :    32    8    4.075
   1  [    1 ( 0, 0, 0) ] 1    24  [    1 (-1, 2, 0) ] 1  :    37    8    4.075
   1  [    1 ( 0, 0, 0) ] 1    21  [    1 ( 1,-2, 0) ] 1  :    40    8    4.778
   1  [    1 ( 0, 0, 0) ] 1    28  [    2 (-1,-1, 0) ] 1  :     1    9    4.075
   1  [    1 ( 0, 0, 0) ] 1    42  [    2 (-1,-1, 1) ] 1  :     9    9    4.778
   1  [    1 ( 0, 0, 0) ] 1    11  [    2 (-1, 0,-1) ] 1  :    17    9    2.495
   1  [    1 ( 0, 0, 0) ] 1    43  [    2 (-1, 1,-1) ] 1  :    33    9    4.075
   1  [    1 ( 0, 0, 0) ] 1    57  [    2 ( 0,-1, 1) ] 1  :    57    9    8.150
   1  [    1 ( 0, 0, 0) ] 1    60  [    2 ( 0, 1,-1) ] 1  :    65    9    7.058
   1  [    1 ( 0, 0, 0) ] 1    25  [    2 ( 1,-1, 0) ] 1  :    81    9    4.778
   1  [    1 ( 0, 0, 0) ] 1    10  [    2 ( 1, 0,-1) ] 1  :    89    9    4.075
   1  [    1 ( 0, 0, 0) ] 1    28  [    2 (-1,-1, 0) ] 2  :     1   10    4.075
   1  [    1 ( 0, 0, 0) ] 1    42  [    2 (-1,-1, 1) ] 2  :     9   10    4.778
   1  [    1 ( 0, 0, 0) ] 1    11  [    2 (-1, 0,-1) ] 3  :    17   10    2.495
   1  [    1 ( 0, 0, 0) ] 1    43  [    2 (-1, 1,-1) ] 3  :    33   10    4.075
   1  [    1 ( 0, 0, 0) ] 1    57  [    2 ( 0,-1, 1) ] 3  :    57   10    8.150
   1  [    1 ( 0, 0, 0) ] 1    60  [    2 ( 0, 1,-1) ] 2  :    65   10    7.058
   1  [    1 ( 0, 0, 0) ] 1    25  [    2 ( 1,-1, 0) ] 3  :    81   10    4.778
   1  [    1 ( 0, 0, 0) ] 1    10  [    2 ( 1, 0,-1) ] 2  :    89   10    4.075
   1  [    1 ( 0, 0, 0) ] 1    28  [    2 (-1,-1, 0) ] 3  :     1   11    4.075
   1  [    1 ( 0, 0, 0) ] 1    42  [    2 (-1,-1, 1) ] 3  :    17   11    4.778
   1  [    1 ( 0, 0, 0) ] 1    11  [    2 (-1, 0,-1) ] 2  :    33   11    2.495
   1  [    1 ( 0, 0, 0) ] 1    13  [    2 (-1, 0, 1) ] 2  :    49   11    4.778
   1  [    1 ( 0, 0, 0) ] 1    13  [    2 (-1, 0, 1) ] 3  :    53   11    4.778
   1  [    1 ( 0, 0, 0) ] 1    43  [    2 (-1, 1,-1) ] 2  :    65   11    4.075
   1  [    1 ( 0, 0, 0) ] 1    31  [    2 (-1, 1, 0) ] 2  :    81   11    4.778
   1  [    1 ( 0, 0, 0) ] 1    31  [    2 (-1, 1, 0) ] 3  :    85   11    4.778
   1  [    1 ( 0, 0, 0) ] 1    63  [    2 ( 0,-1,-1) ] 2  :    97   11    7.486
   1  [    1 ( 0, 0, 0) ] 1    63  [    2 ( 0,-1,-1) ] 3  :   101   11    7.486
   1  [    1 ( 0, 0, 0) ] 1    57  [    2 ( 0,-1, 1) ] 2  :   113   11    8.150
   1  [    1 ( 0, 0, 0) ] 1    60  [    2 ( 0, 1,-1) ] 3  :   129   11    7.058
   1  [    1 ( 0, 0, 0) ] 1    45  [    2 ( 1,-1,-1) ] 2  :   145   11    7.058
   1  [    1 ( 0, 0, 0) ] 1    45  [    2 ( 1,-1,-1) ] 3  :   149   11    7.058
   1  [    1 ( 0, 0, 0) ] 1    25  [    2 ( 1,-1, 0) ] 2  :   161   11    4.778
   1  [    1 ( 0, 0, 0) ] 1    10  [    2 ( 1, 0,-1) ] 3  :   177   11    4.075
   1  [    1 ( 0, 0, 0) ] 1    13  [    2 (-1, 0, 1) ] 1  :    13   12    4.778
   1  [    1 ( 0, 0, 0) ] 1    31  [    2 (-1, 1, 0) ] 1  :    21   12    4.778
   1  [    1 ( 0, 0, 0) ] 1    63  [    2 ( 0,-1,-1) ] 1  :    25   12    7.486
   1  [    1 ( 0, 0, 0) ] 1    45  [    2 ( 1,-1,-1) ] 1  :    37   12    7.058
   1  [    1 ( 0, 0, 0) ] 1     2  [    1 (-1,-1, 1) ] 1  :     1   13    2.495
   1  [    1 ( 0, 0, 0) ] 1     2  [    1 ( 1, 1,-1) ] 1  :     4   13    2.495
   1  [    1 ( 0, 0, 0) ] 1     3  [    1 (-1, 1,-1) ] 1  :     9   13    7.486
   1  [    1 ( 0, 0, 0) ] 1     3  [    1 ( 1,-1, 1) ] 1  :    12   13    7.486
   1  [    1 ( 0, 0, 0) ] 1     5  [    1 (-1, 1, 1) ] 1  :     9   14    4.778
   1  [    1 ( 0, 0, 0) ] 1     5  [    1 ( 1,-1,-1) ] 1  :    12   14    4.778
   1  [    1 ( 0, 0, 0) ] 1    19  [    1 (-1, 0, 0) ] 1  :     1   15    7.486
   1  [    1 ( 0, 0, 0) ] 1    18  [    1 ( 1, 0, 0) ] 1  :     4   15    5.763
   1  [    1 ( 0, 0, 0) ] 1    17  [    1 ( 0,-1, 1) ] 1  :    17   15    4.778
   1  [    1 ( 0, 0, 0) ] 1    20  [    1 ( 0, 1,-1) ] 1  :    20   15    7.058
   1  [    1 ( 0, 0, 0) ] 1    19  [    1 (-1, 0, 0) ] 2  :     1   16    7.486
   1  [    1 ( 0, 0, 0) ] 1    19  [    1 (-1, 0, 0) ] 3  :     5   16    7.486
   1  [    1 ( 0, 0, 0) ] 1    18  [    1 ( 1, 0, 0) ] 2  :    12   16    5.763
   1  [    1 ( 0, 0, 0) ] 1    18  [    1 ( 1, 0, 0) ] 3  :    16   16    5.763
   1  [    1 ( 0, 0, 0) ] 1    37  [    1 (-1, 0, 1) ] 2  :    17   16    4.075
   1  [    1 ( 0, 0, 0) ] 1    34  [    1 ( 1, 0,-1) ] 2  :    24   16    7.058
   1  [    1 ( 0, 0, 0) ] 1    55  [    1 (-1, 1, 0) ] 3  :    33   16    7.058
   1  [    1 ( 0, 0, 0) ] 1    49  [    1 ( 1,-1, 0) ] 3  :    44   16    8.523
   1  [    1 ( 0, 0, 0) ] 1    33  [    1 ( 0,-1, 0) ] 2  :    49   16    6.280
   1  [    1 ( 0, 0, 0) ] 1    38  [    1 ( 0, 1, 0) ] 2  :    56   16    4.778
   1  [    1 ( 0, 0, 0) ] 1    17  [    1 ( 0,-1, 1) ] 2  :    65   16    4.778
   1  [    1 ( 0, 0, 0) ] 1    17  [    1 ( 0,-1, 1) ] 3  :    69   16    4.778
   1  [    1 ( 0, 0, 0) ] 1    20  [    1 ( 0, 1,-1) ] 2  :    76   16    7.058
   1  [    1 ( 0, 0, 0) ] 1    20  [    1 ( 0, 1,-1) ] 3  :    80   16    7.058
   1  [    1 ( 0, 0, 0) ] 1    51  [    1 ( 0, 0,-1) ] 3  :    81   16    8.523
   1  [    1 ( 0, 0, 0) ] 1    53  [    1 ( 0, 0, 1) ] 3  :    92   16    8.150
   1  [    1 ( 0, 0, 0) ] 1    37  [    1 (-1, 0, 1) ] 1  :     9   17    4.075
   1  [    1 ( 0, 0, 0) ] 1    34  [    1 ( 1, 0,-1) ] 1  :    12   17    7.058
   1  [    1 ( 0, 0, 0) ] 1    55  [    1 (-1, 1, 0) ] 1  :    17   17    7.058
   1  [    1 ( 0, 0, 0) ] 1    49  [    1 ( 1,-1, 0) ] 1  :    20   17    8.523
   1  [    1 ( 0, 0, 0) ] 1    33  [    1 ( 0,-1, 0) ] 1  :    25   17    6.280
   1  [    1 ( 0, 0, 0) ] 1    38  [    1 ( 0, 1, 0) ] 1  :    28   17    4.778
   1  [    1 ( 0, 0, 0) ] 1    51  [    1 ( 0, 0,-1) ] 1  :    41   17    8.523
   1  [    1 ( 0, 0, 0) ] 1    53  [    1 ( 0, 0, 1) ] 1  :    44   17    8.150
   1  [    1 ( 0, 0, 0) ] 1    37  [    1 (-1, 0, 1) ] 3  :     9   18    4.075
   1  [    1 ( 0, 0, 0) ] 1    34  [    1 ( 1, 0,-1) ] 3  :    16   18    7.058
   1  [    1 ( 0, 0, 0) ] 1    55  [    1 (-1, 1, 0) ] 2  :    17   18    7.058
   1  [    1 ( 0, 0, 0) ] 1    49  [    1 ( 1,-1, 0) ] 2  :    24   18    8.523
   1  [    1 ( 0, 0, 0) ] 1    33  [    1 ( 0,-1, 0) ] 3  :    25   18    6.280
   1  [    1 ( 0, 0, 0) ] 1    38  [    1 ( 0, 1, 0) ] 3  :    32   18    4.778
   1  [    1 ( 0, 0, 0) ] 1    51  [    1 ( 0, 0,-1) ] 2  :    41   18    8.523
   1  [    1 ( 0, 0, 0) ] 1    53  [    1 ( 0, 0, 1) ] 2  :    48   18    8.150
   1  [    1 ( 0, 0, 0) ] 1    29  [    2 ( 0, 0, 1) ] 1  :     1   19    6.280
   1  [    1 ( 0, 0, 0) ] 1    14  [    2 ( 0, 1, 0) ] 1  :     9   19    5.763
   1  [    1 ( 0, 0, 0) ] 1    32  [    2 (-2, 0, 1) ] 1  :    33   19    4.075
   1  [    1 ( 0, 0, 0) ] 1    15  [    2 (-2, 1, 0) ] 1  :    41   19    4.778
   1  [    1 ( 0, 0, 0) ] 1    46  [    2 ( 0,-2, 0) ] 1  :    49   19    5.763
   1  [    1 ( 0, 0, 0) ] 1    47  [    2 ( 0, 0,-2) ] 1  :    65   19    7.486
   1  [    1 ( 0, 0, 0) ] 1    61  [    2 ( 1,-2, 0) ] 1  :    81   19    6.280
   1  [    1 ( 0, 0, 0) ] 1    64  [    2 ( 1, 0,-2) ] 1  :    89   19    8.523
   1  [    1 ( 0, 0, 0) ] 1    29  [    2 ( 0, 0, 1) ] 2  :     1   20    6.280
   1  [    1 ( 0, 0, 0) ] 1    14  [    2 ( 0, 1, 0) ] 3  :     9   20    5.763
   1  [    1 ( 0, 0, 0) ] 1    32  [    2 (-2, 0, 1) ] 3  :    33   20    4.075
   1  [    1 ( 0, 0, 0) ] 1    15  [    2 (-2, 1, 0) ] 2  :    41   20    4.778
   1  [    1 ( 0, 0, 0) ] 1    46  [    2 ( 0,-2, 0) ] 3  :    49   20    5.763
   1  [    1 ( 0, 0, 0) ] 1    47  [    2 ( 0, 0,-2) ] 2  :    65   20    7.486
   1  [    1 ( 0, 0, 0) ] 1    61  [    2 ( 1,-2, 0) ] 2  :    81   20    6.280
   1  [    1 ( 0, 0, 0) ] 1    64  [    2 ( 1, 0,-2) ] 3  :    89   20    8.523
   1  [    1 ( 0, 0, 0) ] 1    29  [    2 ( 0, 0, 1) ] 3  :     1   21    6.280
   1  [    1 ( 0, 0, 0) ] 1    14  [    2 ( 0, 1, 0) ] 2  :    17   21    5.763
   1  [    1 ( 0, 0, 0) ] 1    58  [    2 ( 1, 0, 0) ] 2  :    33   21    8.523
   1  [    1 ( 0, 0, 0) ] 1    58  [    2 ( 1, 0, 0) ] 3  :    37   21    8.523
   1  [    1 ( 0, 0, 0) ] 1    44  [    2 (-2, 0, 0) ] 2  :    49   21    6.280
   1  [    1 ( 0, 0, 0) ] 1    44  [    2 (-2, 0, 0) ] 3  :    53   21    6.280
   1  [    1 ( 0, 0, 0) ] 1    32  [    2 (-2, 0, 1) ] 2  :    65   21    4.075
   1  [    1 ( 0, 0, 0) ] 1    15  [    2 (-2, 1, 0) ] 3  :    81   21    4.778
   1  [    1 ( 0, 0, 0) ] 1    46  [    2 ( 0,-2, 0) ] 2  :    97   21    5.763
   1  [    1 ( 0, 0, 0) ] 1    26  [    2 ( 0,-2, 1) ] 2  :   113   21    4.075
   1  [    1 ( 0, 0, 0) ] 1    26  [    2 ( 0,-2, 1) ] 3  :   117   21    4.075
   1  [    1 ( 0, 0, 0) ] 1    47  [    2 ( 0, 0,-2) ] 3  :   129   21    7.486
   1  [    1 ( 0, 0, 0) ] 1    12  [    2 ( 0, 1,-2) ] 2  :   145   21    4.075
   1  [    1 ( 0, 0, 0) ] 1    12  [    2 ( 0, 1,-2) ] 3  :   149   21    4.075
   1  [    1 ( 0, 0, 0) ] 1    61  [    2 ( 1,-2, 0) ] 3  :   161   21    6.280
   1  [    1 ( 0, 0, 0) ] 1    64  [    2 ( 1, 0,-2) ] 2  :   177   21    8.523
   1  [    1 ( 0, 0, 0) ] 1    58  [    2 ( 1, 0, 0) ] 1  :     9   22    8.523
   1  [    1 ( 0, 0, 0) ] 1    44  [    2 (-2, 0, 0) ] 1  :    13   22    6.280
   1  [    1 ( 0, 0, 0) ] 1    26  [    2 ( 0,-2, 1) ] 1  :    29   22    4.075
   1  [    1 ( 0, 0, 0) ] 1    12  [    2 ( 0, 1,-2) ] 1  :    37   22    4.075
   1  [    1 ( 0, 0, 0) ] 2     1  [    1 ( 0, 0, 0) ] 2  :     2    1    0.000
   1  [    1 ( 0, 0, 0) ] 2    41  [    2 ( 0, 0, 0) ] 2  :     3    2    4.075
   1  [    1 ( 0, 0, 0) ] 2    59  [    2 (-1, 0, 0) ] 2  :    11    2    7.486
   1  [    1 ( 0, 0, 0) ] 2     9  [    2 ( 0,-1, 0) ] 2  :    23    2    4.778
   1  [    1 ( 0, 0, 0) ] 2    27  [    2 ( 0, 0,-1) ] 2  :    35    2    2.495
   1  [    1 ( 0, 0, 0) ] 2    41  [    2 ( 0, 0, 0) ] 1  :     5    3    4.075
   1  [    1 ( 0, 0, 0) ] 2    41  [    2 ( 0, 0, 0) ] 3  :     7    3    4.075
   1  [    1 ( 0, 0, 0) ] 2    59  [    2 (-1, 0, 0) ] 1  :    21    3    7.486
   1  [    1 ( 0, 0, 0) ] 2    59  [    2 (-1, 0, 0) ] 3  :    25    3    7.486
   1  [    1 ( 0, 0, 0) ] 2     9  [    2 ( 0,-1, 0) ] 1  :    45    3    4.778
   1  [    1 ( 0, 0, 0) ] 2     9  [    2 ( 0,-1, 0) ] 3  :    49    3    4.778
   1  [    1 ( 0, 0, 0) ] 2    27  [    2 ( 0, 0,-1) ] 1  :    69    3    2.495
   1  [    1 ( 0, 0, 0) ] 2    27  [    2 ( 0, 0,-1) ] 3  :    73    3    2.495
   1  [    1 ( 0, 0, 0) ] 2    52  [    1 (-1,-1, 0) ] 2  :     5    4    8.523
   1  [    1 ( 0, 0, 0) ] 2    54  [    1 ( 1, 1, 0) ] 2  :     8    4    6.280
   1  [    1 ( 0, 0, 0) ] 2    23  [    1 ( 0,-1,-1) ] 2  :    17    4    2.495
   1  [    1 ( 0, 0, 0) ] 2    22  [    1 ( 0, 1, 1) ] 2  :    20    4    4.075
   1  [    1 ( 0, 0, 0) ] 2    56  [    1 (-2, 0, 1) ] 2  :    29    4    6.280
   1  [    1 ( 0, 0, 0) ] 2    50  [    1 ( 2, 0,-1) ] 2  :    32    4    7.486
   1  [    1 ( 0, 0, 0) ] 2    23  [    1 (-2, 1, 1) ] 2  :    41    4    2.495
   1  [    1 ( 0, 0, 0) ] 2    22  [    1 ( 2,-1,-1) ] 2  :    44    4    4.075
   1  [    1 ( 0, 0, 0) ] 2    54  [    1 (-1,-1, 2) ] 2  :    53    4    6.280
   1  [    1 ( 0, 0, 0) ] 2    52  [    1 ( 1, 1,-2) ] 2  :    56    4    8.523
   1  [    1 ( 0, 0, 0) ] 2    21  [    1 (-1, 0, 2) ] 2  :    57    4    4.778
   1  [    1 ( 0, 0, 0) ] 2    24  [    1 ( 1, 0,-2) ] 2  :    60    4    4.075
   1  [    1 ( 0, 0, 0) ] 2    24  [    1 (-1, 2, 0) ] 2  :    73    4    4.075
   1  [    1 ( 0, 0, 0) ] 2    21  [    1 ( 1,-2, 0) ] 2  :    76    4    4.778
   1  [    1 ( 0, 0, 0) ] 2    50  [    1 ( 0,-2, 1) ] 2  :    85    4    7.486
   1  [    1 ( 0, 0, 0) ] 2    56  [    1 ( 0, 2,-1) ] 2  :    88    4    6.280
   1  [    1 ( 0, 0, 0) ] 2    54  [    1 ( 1, 1, 0) ] 1  :     4    5    6.280
   1  [    1 ( 0, 0, 0) ] 2    52  [    1 (-1,-1, 0) ] 1  :     5    5    8.523
   1  [    1 ( 0, 0, 0) ] 2    23  [    1 ( 0,-1,-1) ] 3  :    17    5    2.495
   1  [    1 ( 0, 0, 0) ] 2    22  [    1 ( 0, 1, 1) ] 3  :    24    5    4.075
   1  [    1 ( 0, 0, 0) ] 2    50  [    1 ( 2, 0,-1) ] 1  :    28    5    7.486
   1  [    1 ( 0, 0, 0) ] 2    56  [    1 (-2, 0, 1) ] 1  :    29    5    6.280
   1  [    1 ( 0, 0, 0) ] 2    23  [    1 (-2, 1, 1) ] 3  :    41    5    2.495
   1  [    1 ( 0, 0, 0) ] 2    22  [    1 ( 2,-1,-1) ] 3  :    48    5    4.075
   1  [    1 ( 0, 0, 0) ] 2    52  [    1 ( 1, 1,-2) ] 1  :    52    5    8.523
   1  [    1 ( 0, 0, 0) ] 2    54  [    1 (-1,-1, 2) ] 1  :    53    5    6.280
   1  [    1 ( 0, 0, 0) ] 2    21  [    1 (-1, 0, 2) ] 3  :    57    5    4.778
   1  [    1 ( 0, 0, 0) ] 2    24  [    1 ( 1, 0,-2) ] 3  :    64    5    4.075
   1  [    1 ( 0, 0, 0) ] 2    24  [    1 (-1, 2, 0) ] 3  :    73    5    4.075
   1  [    1 ( 0, 0, 0) ] 2    21  [    1 ( 1,-2, 0) ] 3  :    80    5    4.778
   1  [    1 ( 0, 0, 0) ] 2    56  [    1 ( 0, 2,-1) ] 1  :    84    5    6.280
   1  [    1 ( 0, 0, 0) ] 2    50  [    1 ( 0,-2, 1) ] 1  :    85    5    7.486
   1  [    1 ( 0, 0, 0) ] 2    54  [    1 ( 1, 1, 0) ] 3  :     8    6    6.280
   1  [    1 ( 0, 0, 0) ] 2    35  [    1 (-1, 0,-1) ] 1  :     9    6    5.763
   1  [    1 ( 0, 0, 0) ] 2    35  [    1 (-1, 0,-1) ] 3  :    13    6    5.763
   1  [    1 ( 0, 0, 0) ] 2    22  [    1 ( 0, 1, 1) ] 1  :    20    6    4.075
   1  [    1 ( 0, 0, 0) ] 2    56  [    1 (-2, 0, 1) ] 3  :    29    6    6.280
   1  [    1 ( 0, 0, 0) ] 2    36  [    1 ( 2,-1, 0) ] 1  :    36    6    4.778
   1  [    1 ( 0, 0, 0) ] 2    36  [    1 ( 2,-1, 0) ] 3  :    40    6    4.778
   1  [    1 ( 0, 0, 0) ] 2    23  [    1 (-2, 1, 1) ] 1  :    41    6    2.495
   1  [    1 ( 0, 0, 0) ] 2    52  [    1 ( 1, 1,-2) ] 3  :    56    6    8.523
   1  [    1 ( 0, 0, 0) ] 2    24  [    1 ( 1, 0,-2) ] 1  :    60    6    4.075
